北京,首都,帝都,朝阳群众,海淀,丰台,门头沟,石景山,房山,通州,顺义,昌平,怀柔,平谷,延庆,密云,京剧,国安,,,,,,,,,,,,,,,,,,,
天津,南开,东丽,津南,武清,宝坻,滨海新区,蓟州,泰达,权健,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海,沪,黄浦,徐汇,长宁,静安,普陀,虹口,杨浦,闵行,嘉定,浦东新区,松江,青浦,奉贤,崇明,上港,申花,,,,,,,,,,,,,,,,,,,
重庆,渝,山城,雾都,渝中,大渡口,沙坪坝,九龙坡,南岸,北碚,渝北,巴南,万州,涪陵,永川,璧山,綦江,江津,合川,黔江,南川,铜梁,潼南,荣昌,开州,梁平,武隆,丰都,垫江,忠县,云阳,奉节,巫山,巫溪,力帆  ,洪崖洞 ,巴山
河北,冀,石家庄,保定,秦皇岛,唐山,邯郸,邢台,沧州,承德,廊坊,衡水,张家口,,,,,,,,,,,,,,,,,,,,,,,,
山西,晋,平城,太原,大同,阳泉,长治,临汾,晋中,运城,晋城,忻州,朔州,吕梁,平遥古城,五台山,煤老板,,,,,,,,,,,,,,,,,,,,
辽宁,辽,沈阳,大连,盘锦,鞍山,抚顺,本溪,铁岭,锦州,丹东,辽阳,葫芦岛,阜新,营口,,,,,,,,,,,,,,,,,,,,,,
吉林,长春,吉林,通化,白城,辽源,松原,长白山,富德,亚泰,,,,,,,,,,,,,,,,,,,,,,,,,,,
黑龙江,鹤城,冰城,北大仓,哈尔滨,伊春,牡丹江,大庆,鸡西,鹤岗,绥化,双鸭山,七台河,佳木斯,黑河,齐齐哈尔,,,,,,,,,,,,,,,,,,,,,
江苏,苏南,苏北,彭城,南京,无锡,常州,扬州,徐州,苏州,连云港,盐城,淮安,宿迁,镇江,南通,泰州,,,,,,,,,,,,,,,,,,,,
浙江,浙,禾城,婺城,杭州,绍兴,温州,湖州,嘉兴,台州,金华,舟山,衢州,丽水,西湖,横店,乌镇,雁荡山,天一阁,绿城,,,,,,,,,,,,,,,,,
安徽,皖,白完,宜城,合肥,芜湖,亳州,宿州,马鞍山,池州,淮南,淮北,蚌埠,安庆,宣城,滁州,黄山,六安,阜阳,铜陵,黄山,,,,,,,,,,,,,,,,
福建,闽,胡建,榕城,鲤城,鹭城,荔城,福州,泉州,漳州,南平,龙岩,莆田,宁德,厦门,武夷山,鼓浪屿,沙县小吃,,,,,,,,,,,,,,,,,,,
江西,赣,英雄城,洪城,南昌,赣州,景德镇,九江,萍乡,新余,抚州,宜春,上饶,鹰潭,吉安,井冈山,滕王阁,庐山,三清山,,,,,,,,,,,,,,,,,,
山东,泉城,历城,任城,济南,青岛,潍坊,淄博,威海,枣庄,泰安,临沂,东营,济宁,烟台,菏泽,德州,聊城,滨州,莱芜,鲁能,,,,,,,,,,,,,,,,
河南,豫,偷井盖,宛城,汴,斟_,西亳,洛邑,雒阳,洛京,京洛,洛城,郑州,洛阳,焦作,商丘,信阳,安阳,开封,漯河,南阳,鹤壁,平顶山,濮阳,许昌,三门峡,驻马店,龙门石窟,,,,,,,,,
湖北,鄂,九头鸟,江城,武汉,荆门,咸宁,襄樊,荆州,宜昌,随州,鄂州,孝感,十堰,武当山,黄鹤楼,,,,,,,,,,,,,,,,,,,,,
湖南,湘,潭城,莲城,长沙,郴州,娄底,衡阳,株洲,湘潭,岳阳,常德,邵阳,益阳,永州,张家界,怀化,湘西,湘江,,,,,,,,,,,,,,,,,,
广东,粤,岭南,羊城,吃福建人,凤城,鹅城,广州,梅州,深圳,江门,佛山,汕头,湛江,韶关,中山,珠海,茂名,肇庆,阳江,惠州,潮州,揭阳,清远,河源,东莞,汕尾,云浮,潮汕,恒大,富力,,,,,,
海南,海口,三亚,三沙,文昌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四川,蜀,巴山,天府,蓉城,锦城,甜城,江阳,酒城,江城,月城,成都,乐山,雅安,广安,南充,自贡,泸州,内江,宜宾,广元,达州,资阳,绵阳,眉山,巴中,攀枝花,遂宁,德阳,九寨沟,峨眉山,乐山,都江堰,,,,
贵州,黔,贵阳,安顺,遵义,六盘水,铜仁,毕节,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
云南,滇,春城,花城,彩云之南,昆明,玉溪,曲靖,昭通,保山,丽江,临沧,香格里拉,丽江,,,,,,,,,,,,,,,,,,,,,,,
陕西,陕,佟掌柜,黄土高坡,关中,窑洞,西安,咸阳,榆林,宝鸡,铜川,渭南,汉中,安康,商洛,延安,兵马俑,秦始皇陵,,,,,,,,,,,,,,,,,,,
甘肃,陇,河西走廊,兰州,白银,武威,金昌,平凉,张掖,嘉峪关,酒泉,庆阳,定西,陇南,天水,敦煌,莫高窟,,,,,,,,,,,,,,,,,,,,
青海,西宁,海东,青海湖,玉树,果洛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台湾,宝岛,台独,台巴子,台北,新北,台中,台南,高雄,酱紫,,,,,,,,,,,,,,,,,,,,,,,,,,,
内蒙古,蒙古包,鹿城,呼和浩特,呼伦贝尔,包头,赤峰,乌海,通辽,鄂尔多斯,乌兰察布,,,,,,,,,,,,,,,,,,,,,,,,,,
广西,邕,南宁,贺州,柳州,桂林,梧州,玉林,钦州,防城港,河池,崇左,阳朔,,,,,,,,,,,,,,,,,,,,,,,,
西藏,藏独,日光城,拉萨,布达拉宫,酥油茶,青稞酒,哈达,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宁夏,塞上江南,银川,固原,青铜峡,石嘴山,吴忠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新疆,天山,乌鲁木齐,克拉玛依,和田,天山,切糕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
香港,港独,占中,TVB,九龙,观塘,深水_,黄大仙,油尖旺,离岛,葵青,西贡,沙田,大埔,荃湾,屯门,元朗,维多利亚港,香江,,,,,,,,,,,,,,,,,,
澳门,澳,七子之歌,花地玛堂,圣方济各堂,圣安多尼堂,望德堂,风顺堂,_仔,嘉模堂,路环,圣方济各堂,,,,,,,,,,,,,,,,,,,,,,,,,